feature,importance
membrane_permeability_proxy,0.3478698805249178
large_cell_fraction,0.1893572131028995
small_cell_fraction,0.07265164095197921
cell_area_std,0.07227815196747889
total_intensity,0.038725197304335275
mean_intensity,0.037706238982456175
intensity_variance,0.03589866415066968
chromatin_condensation_proxy,0.035619123723304655
medium_cell_fraction,0.027181343431301852
cell_area_mean,0.025241490640761095
cell_count,0.022907170359863352
cell_shrinkage_ratio,0.022088192874077914
density_cells_per_10k_px,0.02159851739022784
area_covered_ratio,0.02098447550111102
nuclear_fragmentation_index,0.018096411030591113
cell_swelling_index,0.007857010001172617
cell_area_median,0.003939278062852049
membrane_blebbing_score,0.0
